Fecha,Coparticipación Bruta
02/10/2025,"$93,191,211.00"
03/10/2025,"$138,267,185.00"
06/10/2025,"$127,435,016.00"
07/10/2025,"$199,391,950.00"
08/10/2025,"$199,936,779.00"
09/10/2025,"$205,738,289.00"
10/10/2025,"$568,570,002.00"
14/10/2025,"$1,734,673,664.00"
15/10/2025,"$677,886,429.00"
16/10/2025,"$424,680,233.00"
17/10/2025,"$327,799,271.00"
20/10/2025,"$361,239,054.00"
21/10/2025,"$864,580,797.00"
22/10/2025,"$860,739,777.00"
23/10/2025,"$751,839,598.00"
24/10/2025,"$639,671,145.00"
27/10/2025,"$616,702,929.00"
28/10/2025,"$379,786,188.00"
29/10/2025,"$204,414,332.00"
30/10/2025,"$139,576,929.00"
31/10/2025,"$80,969,386.00"
03/11/2025,"$62,913,163.00"
04/11/2025,"$51,548,078.00"
05/11/2025,"$155,705,270.00"
07/11/2025,"$165,606,275.00"
10/11/2025,"$465,437,868.00"
11/11/2025,"$1,694,742,653.00"
12/11/2025,"$749,104,502.00"
13/11/2025,"$677,927,989.00"
14/11/2025,"$502,733,491.00"
17/11/2025,"$291,437,186.00"
18/11/2025,"$336,277,942.00"
19/11/2025,"$439,168,632.00"
20/11/2025,"$956,862,013.00"
25/11/2025,"$1,082,547,050.00"
26/11/2025,"$849,817,930.00"
27/11/2025,"$1,243,563,747.00"
28/11/2025,"$308,000,820.00"
01/12/2025,"$317,003,187.00"
02/12/2025,"$237,726,676.00"
03/12/2025,"$279,957,407.00"
04/12/2025,"$130,984,475.00"
05/12/2025,"$150,606,073.00"
09/12/2025,"$166,934,962.00"
10/12/2025,"$527,527,633.00"
11/12/2025,"$1,581,299,394.00"
12/12/2025,"$668,093,311.00"
15/12/2025,"$243,389,095.00"
16/12/2025,"$181,723,716.00"
17/12/2025,"$328,988,804.00"
18/12/2025,"$553,181,165.00"
19/12/2025,"$872,486,037.00"
22/12/2025,"$806,901,802.00"
23/12/2025,"$743,333,262.00"
26/12/2025,"$737,887,321.00"
29/12/2025,"$906,092,629.00"
30/12/2025,"$649,489,472.00"
5/1/2026,"$371,963,034.00"
6/1/2026,"$156,409,651.00"
7/1/2026,"$285,507,685.00"
8/1/2026,"$233,678,921.00"
9/1/2026,"$233,328,282.00"
12/1/2026,"$557,276,040.00"
13/1/2026,"$2,015,560,071.00"
14/1/2026,"$746,874,995.00"
15/1/2026,"$730,290,578.00"
16/1/2026,"$281,289,132.00"
19/1/2026,"$225,529,615.00"
20/1/2026,"$465,010,013.00"
21/1/2026,"$1,145,120,246.00"
22/1/2026,"$876,828,082.00"
23/1/2026,"$942,166,709.00"
26/1/2026,"$561,703,793.00"
27/1/2026,"$689,269,064.00"
28/1/2026,"$205,389,017.00"
29/1/2026,"$169,145,846.00"
30/1/2026,"$180,638,469.00"
2/2/2026,"$35,685,187.00"
3/2/2026,"$45,587,351.00"
4/2/2026,"$112,693,726.00"
5/2/2026,"$111,160,899.00"
6/2/2026,"$198,023,279.00"
9/2/2026,"$163,683,951.00"
10/2/2026,"$549,241,874.00"
11/2/2026,"$1,735,628,821.00"
12/2/2026,"$501,271,758.00"
13/2/2026,"$392,868,041.00"
18/2/2026,"$214,599,934.00"
19/2/2026,"$317,845,171.00"
20/2/2026,"$964,217,501.00"
23/2/2026,"$1,182,644,616.00"
24/2/2026,"$1,447,287,247.00"
25/2/2026,"$1,015,112,868.00"
26/2/2026,"$519,000,510.00"
27/2/2026,"$259,559,641.00"
2/3/2026,"$191,919,241.00"
3/3/2026,"$277,155,665.00"
4/3/2026,"$143,198,096.00"
5/3/2026,"$98,245,927.00"
6/3/2026,"$261,745,370.00"
9/3/2026,"$167,072,063.00"
10/3/2026,"$457,399,839.00"
11/3/2026,"$1,531,455,523.00"
12/3/2026,"$388,598,908.00"
13/3/2026,"$384,111,798.00"
16/3/2026,"$116,643,862.00"
17/3/2026,"$182,557,495.00"
18/3/2026,"$370,161,970.00"
19/3/2026,"$828,261,770.00"
20/3/2026,"$918,727,992.00"
25/3/2026,"$615,828,872.00"
26/3/2026,"$724,303,770.00"
27/3/2026,"$668,407,920.00"
30/3/2026,"$568,536,402.00"
31/3/2026,"$367,228,068.00"
1/4/2026,"$138,307,533.00"
6/4/2026,"$308,795,800.00"
7/4/2026,"$114,034,755.00"
8/4/2026,"$215,310,323.00"
9/4/2026,"$229,565,214.00"
